date,cc,rate
2022-11-20,EUR,37.7681
2022-11-21,EUR,37.8906
2022-11-22,EUR,37.4481
2022-11-23,EUR,37.5541
2022-11-24,EUR,37.7461
2022-11-25,EUR,38.0716
2022-11-26,EUR,38.0716
2022-11-27,EUR,38.0716
2022-11-28,EUR,37.96
2022-11-29,EUR,38.302
2022-11-30,EUR,37.9344
2022-12-01,EUR,37.9198
2022-12-02,EUR,38.205
2022-12-03,EUR,38.205
2022-12-04,EUR,38.205
2022-12-05,EUR,38.5396
2022-12-06,EUR,38.7353
2022-12-07,EUR,38.4866
2022-12-08,EUR,38.5232
2022-12-09,EUR,38.4629
2022-12-10,EUR,38.4629
2022-12-11,EUR,38.4629
2022-12-12,EUR,38.6
2022-12-13,EUR,38.6
2022-12-14,EUR,38.578
2022-12-15,EUR,38.9273
2022-12-16,EUR,38.8541
2022-12-17,EUR,38.8541
2022-12-18,EUR,38.8541
2022-12-19,EUR,38.8377
2022-12-20,EUR,38.7865
2022-12-21,EUR,38.8121
2022-12-22,EUR,38.8706
2022-12-23,EUR,38.8962
2022-12-24,EUR,38.8962
2022-12-25,EUR,38.8962
2022-12-26,EUR,38.834
2022-12-27,EUR,38.8432
2022-12-28,EUR,38.8852
2022-12-29,EUR,38.9437
2022-12-30,EUR,38.951
2022-12-31,EUR,38.951
2023-01-01,EUR,38.951
2023-01-02,EUR,39.037
2023-01-03,EUR,39.0041
2023-01-04,EUR,38.5378
2023-01-05,EUR,38.7901
2023-01-06,EUR,38.7773
2023-01-07,EUR,38.7773
2023-01-08,EUR,38.7773
2023-01-09,EUR,38.3733
2023-01-10,EUR,39.0827
2023-01-11,EUR,39.1961
2023-01-12,EUR,39.2728
2023-01-13,EUR,39.357
2023-01-14,EUR,39.357
2023-01-15,EUR,39.357
2023-01-16,EUR,39.5361
2023-01-17,EUR,39.5581
2023-01-18,EUR,39.6897
2023-01-19,EUR,39.5873
2023-01-20,EUR,39.5215
2023-01-21,EUR,39.5215
2023-01-22,EUR,39.5215
2023-01-23,EUR,39.5581
2023-01-24,EUR,39.7519
2023-01-25,EUR,39.7226
2023-01-26,EUR,39.7629
2023-01-27,EUR,39.8433
2023-01-28,EUR,39.8433
2023-01-29,EUR,39.8433
2023-01-30,EUR,39.7482
2023-01-31,EUR,39.8762
2023-02-01,EUR,39.5947
2023-02-02,EUR,39.8323
2023-02-03,EUR,40.1724
2023-02-04,EUR,40.1724
2023-02-05,EUR,40.1724
2023-02-06,EUR,39.9859
2023-02-07,EUR,39.4045
2023-02-08,EUR,39.1485
2023-02-09,EUR,39.2564
2023-02-10,EUR,39.3826
2023-02-11,EUR,39.3826
2023-02-12,EUR,39.3826
2023-02-13,EUR,39.0644
