date,original,trend,seasonal,residual
2022-11-20,37.7681,,,
2022-11-21,37.8906,,,
2022-11-22,37.4481,,,
2022-11-23,37.5541,,,
2022-11-24,37.7461,,,
2022-11-25,38.0716,,,
2022-11-26,38.0716,,,
2022-11-27,38.0716,,,
2022-11-28,37.96,,,
2022-11-29,38.302,,,
2022-11-30,37.9344,,,
2022-12-01,37.9198,,,
2022-12-02,38.205,,,
2022-12-03,38.205,,,
2022-12-04,38.205,,,
2022-12-05,38.5396,,,
2022-12-06,38.7353,,,
2022-12-07,38.4866,,,
2022-12-08,38.5232,,,
2022-12-09,38.4629,,,
2022-12-10,38.4629,,,
2022-12-11,38.4629,,,
2022-12-12,38.6,,,
2022-12-13,38.6,,,
2022-12-14,38.578,,,
2022-12-15,38.9273,,,
2022-12-16,38.8541,,,
2022-12-17,38.8541,,,
2022-12-18,38.8541,,,
2022-12-19,38.8377,,,
2022-12-20,38.7865,,,
2022-12-21,38.8121,,,
2022-12-22,38.8706,,,
2022-12-23,38.8962,,,
2022-12-24,38.8962,,,
2022-12-25,38.8962,,,
2022-12-26,38.834,,,
2022-12-27,38.8432,,,
2022-12-28,38.8852,,,
2022-12-29,38.9437,,,
2022-12-30,38.951,,,
2022-12-31,38.951,,,
2023-01-01,38.951,,,
2023-01-02,39.037,,,
2023-01-03,39.0041,,,
2023-01-04,38.5378,,,
2023-01-05,38.7901,,,
2023-01-06,38.7773,,,
2023-01-07,38.7773,,,
2023-01-08,38.7773,,,
2023-01-09,38.3733,,,
2023-01-10,39.0827,,,
2023-01-11,39.1961,,,
2023-01-12,39.2728,,,
2023-01-13,39.357,,,
2023-01-14,39.357,,,
2023-01-15,39.357,,,
2023-01-16,39.5361,,,
2023-01-17,39.5581,,,
2023-01-18,39.6897,,,
2023-01-19,39.5873,,,
2023-01-20,39.5215,,,
2023-01-21,39.5215,,,
2023-01-22,39.5215,,,
2023-01-23,39.5581,,,
2023-01-24,39.7519,,,
2023-01-25,39.7226,,,
2023-01-26,39.7629,,,
2023-01-27,39.8433,,,
2023-01-28,39.8433,,,
2023-01-29,39.8433,,,
2023-01-30,39.7482,,,
2023-01-31,39.8762,,,
2023-02-01,39.5947,,,
2023-02-02,39.8323,,,
2023-02-03,40.1724,,,
2023-02-04,40.1724,,,
2023-02-05,40.1724,,,
2023-02-06,39.9859,,,
2023-02-07,39.4045,,,
2023-02-08,39.1485,,,
2023-02-09,39.2564,,,
2023-02-10,39.3826,,,
2023-02-11,39.3826,,,
2023-02-12,39.3826,,,
2023-02-13,39.0644,,,
2023-02-14,39.0973,,,
2023-02-15,39.3405,,,
2023-02-16,39.1229,,,
2023-02-17,39.1046,,,
2023-02-18,39.1046,,,
2023-02-19,39.1046,,,
2023-02-20,38.8377,,,
2023-02-21,39.0242,,,
2023-02-22,38.984,,,
2023-02-23,38.9328,,,
2023-02-24,38.8231,,,
2023-02-25,38.8231,,,
2023-02-26,38.8231,,,
2023-02-27,38.6402,,,
2023-02-28,38.611,,,
2023-03-01,38.8231,,,
2023-03-02,39.0754,,,
2023-03-03,38.7847,,,
2023-03-04,38.7847,,,
2023-03-05,38.7847,,,
2023-03-06,38.8048,,,
2023-03-07,38.9126,,,
2023-03-08,39.0132,,,
2023-03-09,38.5671,,,
2023-03-10,38.6201,,,
2023-03-11,38.6201,,,
2023-03-12,38.6201,,,
2023-03-13,38.7426,,,
2023-03-14,39.1046,,,
2023-03-15,39.2728,,,
2023-03-16,38.6183,,,
2023-03-17,38.717,,,
2023-03-18,38.717,,,
2023-03-19,38.717,,,
2023-03-20,38.8523,,,
2023-03-21,39.1485,,,
2023-03-22,39.4228,,,
2023-03-23,39.4264,,,
2023-03-24,39.7665,,,
2023-03-25,39.7665,,,
2023-03-26,39.7665,,,
2023-03-27,39.3076,,,
2023-03-28,39.3899,,,
2023-03-29,39.6111,,,
2023-03-30,39.6989,,,
2023-03-31,39.7812,,,
2023-04-01,39.7812,,,
2023-04-02,39.7812,,,
2023-04-03,39.7373,,,
2023-04-04,39.761,,,
2023-04-05,39.8653,,,
2023-04-06,40.0152,,,
2023-04-07,39.9146,,,
2023-04-08,39.9146,,,
2023-04-09,39.9146,,,
2023-04-10,39.9146,,,
2023-04-11,39.825,,,
2023-04-12,39.8835,,,
2023-04-13,39.9421,,,
2023-04-14,40.2639,,,
2023-04-15,40.2639,,,
2023-04-16,40.2639,,,
2023-04-17,40.4174,,,
2023-04-18,40.1432,,,
2023-04-19,40.1066,,,
2023-04-20,39.9677,,,
2023-04-21,40.0664,,,
2023-04-22,40.0664,,,
2023-04-23,40.0664,,,
2023-04-24,40.1505,,,
2023-04-25,40.2291,,,
2023-04-26,40.2858,,,
2023-04-27,40.3918,,,
2023-04-28,40.3461,,,
2023-04-29,40.3461,,,
2023-04-30,40.3461,,,
2023-05-01,40.1322,,,
2023-05-02,40.2693,,,
2023-05-03,40.1066,,,
2023-05-04,40.3699,,,
2023-05-05,40.4942,,,
2023-05-06,40.4942,,,
2023-05-07,40.4942,,,
2023-05-08,40.2602,,,
2023-05-09,40.348,,,
2023-05-10,40.0883,,,
2023-05-11,40.0444,,,
2023-05-12,39.9713,,,
2023-05-13,39.9713,,,
2023-05-14,39.9713,,,
2023-05-15,39.8287,,,
2023-05-16,39.7702,,,
2023-05-17,39.8104,,,
2023-05-18,39.5947,,,
2023-05-19,39.5471,,,
2023-05-20,39.5471,,,
2023-05-21,39.5471,,,
2023-05-22,39.5179,,,
2023-05-23,39.5691,,,
2023-05-24,39.3972,,,
2023-05-25,39.41,,,
2023-05-26,39.2436,,,
2023-05-27,39.2436,,,
2023-05-28,39.2436,,,
2023-05-29,39.3167,,,
2023-05-30,39.1759,,,
2023-05-31,39.2802,,,
2023-06-01,39.0553,,,
2023-06-02,39.1522,,,
2023-06-03,39.1522,,,
2023-06-04,39.1522,,,
2023-06-05,39.346,,,
2023-06-06,39.0937,,,
2023-06-07,39.0516,,,
2023-06-08,39.1851,,,
2023-06-09,39.2619,,,
2023-06-10,39.2619,,,
2023-06-11,39.2619,,,
2023-06-12,39.4082,,,
2023-06-13,39.357,,,
2023-06-14,39.4721,,,
2023-06-15,39.5069,,,
2023-06-16,39.5691,,,
2023-06-17,39.5691,,,
2023-06-18,39.5691,,,
2023-06-19,40.081,,,
2023-06-20,39.9384,,,
2023-06-21,39.964,,,
2023-06-22,39.9494,,,
2023-06-23,40.1852,,,
2023-06-24,40.1852,,,
2023-06-25,40.1852,,,
2023-06-26,39.7738,,,
2023-06-27,39.9238,,,
2023-06-28,40.0225,,,
2023-06-29,40.0042,,,
2023-06-30,40.0006,,,
2023-07-01,40.0006,,,
2023-07-02,40.0006,,,
2023-07-03,39.6952,,,
2023-07-04,39.8543,,,
2023-07-05,39.8543,,,
2023-07-06,39.7848,,,
2023-07-07,39.8433,,,
2023-07-08,39.8433,,,
2023-07-09,39.8433,,,
2023-07-10,39.8214,,,
2023-07-11,40.0627,,,
2023-07-12,40.167,,,
2023-07-13,40.2803,,,
2023-07-14,40.8581,,,
2023-07-15,40.8581,,,
2023-07-16,40.8581,,,
2023-07-17,41.0483,,,
2023-07-18,41.0812,,,
2023-07-19,41.1506,,,
2023-07-20,41.0117,,,
2023-07-21,40.9897,,,
2023-07-22,40.9897,,,
2023-07-23,40.9897,,,
2023-07-24,40.6643,,,
2023-07-25,40.5838,,,
2023-07-26,40.4046,,,
2023-07-27,40.4558,,,
2023-07-28,40.7228,,,
2023-07-29,40.7228,,,
2023-07-30,40.7228,,,
2023-07-31,40.2584,,,
2023-08-01,40.3242,,,
2023-08-02,40.134,,,
2023-08-03,40.145,,,
2023-08-04,39.9914,,,
2023-08-05,39.9914,,,
2023-08-06,39.9914,,,
2023-08-07,40.0024,,,
2023-08-08,40.1633,,,
2023-08-09,40.0134,,,
2023-08-10,40.1194,,,
2023-08-11,40.284,,,
2023-08-12,40.284,,,
2023-08-13,40.284,,,
2023-08-14,40.2145,,,
2023-08-15,40.006,,,
2023-08-16,39.9658,,,
2023-08-17,39.911,,,
2023-08-18,39.8415,,,
2023-08-19,39.8415,,,
2023-08-20,39.8415,,,
2023-08-21,39.7245,,,
2023-08-22,39.889,,,
2023-08-23,39.8086,,,
2023-08-24,39.5343,,,
2023-08-25,39.655,,,
2023-08-26,39.655,,,
2023-08-27,39.655,,,
2023-08-28,39.5051,,,
2023-08-29,39.516,,,
2023-08-30,39.516,,,
2023-08-31,39.7903,,,
2023-09-01,39.7391,,,
2023-09-02,39.7391,,,
2023-09-03,39.7391,,,
2023-09-04,39.6221,,,
2023-09-05,39.4977,,,
2023-09-06,39.2527,,,
2023-09-07,39.2856,,,
2023-09-08,39.1467,,,
2023-09-09,39.1467,,,
2023-09-10,39.1467,,,
2023-09-11,39.1247,,,
2023-09-12,39.1979,,,
2023-09-13,39.1906,,,
2023-09-14,39.2674,,,
2023-09-15,39.2381,,,
2023-09-16,39.2381,,,
2023-09-17,39.2381,,,
2023-09-18,38.9602,,,
2023-09-19,38.9931,,,
2023-09-20,39.154,,,
2023-09-21,39.1394,,,
2023-09-22,38.8944,,,
2023-09-23,38.8944,,,
2023-09-24,38.8944,,,
2023-09-25,38.898,,,
2023-09-26,38.8724,,,
2023-09-27,38.7609,,,
2023-09-28,38.5506,,,
2023-09-29,38.5543,,,
2023-09-30,38.5543,,,
2023-10-01,38.5543,,,
2023-10-02,38.7408,,,
2023-10-03,38.5177,,,
2023-10-04,38.3263,,,
2023-10-05,38.4288,,,
2023-10-06,38.5406,,,
2023-10-07,38.5406,,,
2023-10-08,38.5406,,,
2023-10-09,38.6533,,,
2023-10-10,38.4827,,,
2023-10-11,38.6049,,,
2023-10-12,38.6394,,,
2023-10-13,38.6422,,,
2023-10-14,38.6422,,,
2023-10-15,38.6422,,,
2023-10-16,38.2782,,,
2023-10-17,38.2806,,,
2023-10-18,38.5503,,,
2023-10-19,38.609,,,
2023-10-20,38.6511,,,
2023-10-21,38.6511,,,
2023-10-22,38.6511,,,
2023-10-23,38.7033,,,
2023-10-24,38.7613,,,
2023-10-25,38.9091,,,
2023-10-26,38.6171,,,
2023-10-27,38.4687,,,
2023-10-28,38.4687,,,
2023-10-29,38.4687,,,
2023-10-30,38.3774,,,
2023-10-31,38.5624,,,
2023-11-01,38.5451,,,
2023-11-02,38.2311,,,
2023-11-03,38.6703,,,
2023-11-04,38.6703,,,
2023-11-05,38.6703,,,
2023-11-06,38.7278,,,
2023-11-07,38.7206,,,
2023-11-08,38.484,,,
2023-11-09,38.4518,,,
2023-11-10,38.5225,,,
2023-11-11,38.5225,,,
2023-11-12,38.5225,,,
2023-11-13,38.542,,,
2023-11-14,38.5945,,,
2023-11-15,38.9392,,,
2023-11-16,39.3939,,,
2023-11-17,39.3054,,,
2023-11-18,39.3054,,,
2023-11-19,39.3054,,,
2023-11-20,39.2582,,,
2023-11-21,39.3986,,,
2023-11-22,39.466,,,
2023-11-23,39.3352,,,
2023-11-24,39.27,,,
2023-11-25,39.27,,,
2023-11-26,39.27,,,
2023-11-27,39.358,,,
2023-11-28,39.6579,,,
2023-11-29,39.8172,,,
2023-11-30,39.9582,,,
2023-12-01,39.7235,,,
2023-12-02,39.7235,,,
2023-12-03,39.7235,,,
2023-12-04,39.6582,,,
2023-12-05,39.7135,,,
2023-12-06,39.6461,,,
2023-12-07,39.5433,,,
